ID,Filename,Output File,Status,Method,Created,Duration (s),Size (KB),Gender,Language,Surrogate,Error
758,call_20230323_002.wav,anonymized_20260212_104321_379.wav,completed,both,2026-02-12 10:43:12,9.38,8340.4,male,english,english_male_person_PERSON,
757,call_20241113_009.wav,anonymized_20260212_104000_802.wav,completed,both,2026-02-12 10:39:47,17.10,11350.0,female,english,english_female_person_PERSON,
756,call_20241113_009.wav,anonymized_20260212_103934_162.wav,completed,both,2026-02-12 10:39:21,14.06,11350.0,female,english,english_female_person_PERSON,
755,call_20241113_009.wav,anonymized_20260212_103731_613.wav,completed,both,2026-02-12 10:37:15,16.63,11350.0,female,english,english_female_person_PERSON,
754,call_20240930_001.wav,anonymized_20260212_103319_252.wav,completed,both,2026-02-12 10:33:15,4.81,3671.0,female,english,english_female_person_PERSON,
753,call_20240930_001.wav,anonymized_20260212_103314_540.wav,completed,both,2026-02-12 10:33:10,5.71,3671.0,female,english,english_female_person_PERSON,
752,call_20240930_001.wav,anonymized_20260212_103304_412.wav,completed,both,2026-02-12 10:33:00,5.32,3671.0,female,english,english_female_person_PERSON,
751,call_20241113_009.wav,anonymized_20260212_103243_110.wav,completed,both,2026-02-12 10:32:28,15.05,11350.0,female,english,english_female_person_PERSON,
750,call_20240930_001.wav,anonymized_20260212_103220_457.wav,completed,both,2026-02-12 10:32:17,3.75,3671.0,female,english,english_female_person_PERSON,
749,call_20240930_001.wav,anonymized_20260212_103147_494.wav,completed,both,2026-02-12 10:31:43,4.95,3671.0,female,english,english_female_person_PERSON,
748,call_20240930_001.wav,anonymized_20260212_103024_528.wav,completed,both,2026-02-12 10:30:20,4.46,3671.0,female,english,english_female_person_PERSON,
747,call_20240930_001.wav,anonymized_20260212_102845_261.wav,completed,both,2026-02-12 10:28:42,3.08,3671.0,female,english,english_female_person_PERSON,
746,call_20240930_001.wav,anonymized_20260212_102812_616.wav,completed,both,2026-02-12 10:28:09,3.17,3671.0,female,english,english_female_person_PERSON,
745,call_20240930_001.wav,anonymized_20260212_102805_553.wav,completed,both,2026-02-12 10:28:02,2.71,3671.0,female,english,english_female_person_PERSON,
744,call_20230323_001.wav,anonymized_20260212_102732_161.wav,completed,both,2026-02-12 10:27:24,11.85,5286.3,female,english,english_female_person_PERSON,
743,call_20240930_001.wav,anonymized_20260212_102724_835.wav,completed,both,2026-02-12 10:27:21,3.75,3671.0,female,english,english_female_person_PERSON,
742,call_20230323_001.wav,anonymized_20260212_102715_531.wav,completed,both,2026-02-12 10:27:08,10.40,5286.3,female,english,english_female_person_PERSON,
